id,file,line,title,category,domain,status,specificationReview
TODO-027,backend/apps/api/test/epv-global-v05.e2e-spec.ts,2,REPURCHASE 4800 => excess 2800 x 60% = 1680 EPV,Test implementation,epv-global-v05,TODO / NOT EXECUTED,SA-02/04 clarifies monthly threshold/pools; this original TODO remains unimplemented
TODO-028,backend/apps/api/test/epv-global-v05.e2e-spec.ts,3,EPV self share = 50% = 840 when Active,Test implementation,epv-global-v05,TODO / NOT EXECUTED,SA-02/04 clarifies monthly threshold/pools; this original TODO remains unimplemented
TODO-029,backend/apps/api/test/epv-global-v05.e2e-spec.ts,4,EPV Sponsor G1-G5 each 6% when Active,Test implementation,epv-global-v05,TODO / NOT EXECUTED,SA-02/04 clarifies monthly threshold/pools; this original TODO remains unimplemented
TODO-030,backend/apps/api/test/epv-global-v05.e2e-spec.ts,5,EPV does not use Binary tree,Test implementation,epv-global-v05,TODO / NOT EXECUTED,SA-02/04 clarifies monthly threshold/pools; this original TODO remains unimplemented
TODO-031,backend/apps/api/test/epv-global-v05.e2e-spec.ts,6,non-REPURCHASE order does not create EPV,Test implementation,epv-global-v05,TODO / NOT EXECUTED,SA-02/04 clarifies monthly threshold/pools; this original TODO remains unimplemented
TODO-032,backend/apps/api/test/epv-global-v05.e2e-spec.ts,10,global pool is 5% of period GPV,Test implementation,epv-global-v05,TODO / NOT EXECUTED,SA-02/04 clarifies monthly threshold/pools; this original TODO remains unimplemented
TODO-033,backend/apps/api/test/epv-global-v05.e2e-spec.ts,11,weak thresholds are 300k/600k/1m/2m/4m,Test implementation,epv-global-v05,TODO / NOT EXECUTED,SA-02/04 clarifies monthly threshold/pools; this original TODO remains unimplemented
TODO-034,backend/apps/api/test/epv-global-v05.e2e-spec.ts,12,rank achievement never downgrades,Test implementation,epv-global-v05,TODO / NOT EXECUTED,SA-02/04 clarifies monthly threshold/pools; this original TODO remains unimplemented
TODO-035,backend/apps/api/test/epv-global-v05.e2e-spec.ts,13,monthly payout requires Active and current-month weak side threshold,Test implementation,epv-global-v05,TODO / NOT EXECUTED,SA-02/04 clarifies monthly threshold/pools; this original TODO remains unimplemented
TODO-036,backend/apps/api/test/epv-global-v05.e2e-spec.ts,14,passed levels are cumulative,Test implementation,epv-global-v05,TODO / NOT EXECUTED,SA-02/04 clarifies monthly threshold/pools; this original TODO remains unimplemented
TODO-037,backend/apps/api/test/epv-global-v05.e2e-spec.ts,15,empty rank slice rolls upward to next higher rank,Test implementation,epv-global-v05,TODO / NOT EXECUTED,SA-02/04 clarifies monthly threshold/pools; this original TODO remains unimplemented
TODO-038,backend/apps/api/test/epv-global-v05.e2e-spec.ts,16,welfare 2% is accrued only; no distribution without a formal rule,Test implementation,epv-global-v05,TODO / NOT EXECUTED,SA-02/04 clarifies monthly threshold/pools; this original TODO remains unimplemented
TODO-039,backend/apps/api/test/idempotency.e2e-spec.ts,2,same key + same payload returns original result,Test implementation,idempotency,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-040,backend/apps/api/test/idempotency.e2e-spec.ts,3,same key + different payload returns IDEMPOTENCY_CONFLICT,Test implementation,idempotency,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-041,backend/apps/api/test/idempotency.e2e-spec.ts,4,monthly recognition cannot create RPV twice,Test implementation,idempotency,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-042,backend/apps/api/test/idempotency.e2e-spec.ts,5,same external event cannot be processed twice,Test implementation,idempotency,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-043,backend/apps/api/test/negative-flow-v05.e2e-spec.ts,2,partial return creates proportional negative GPV event,Test implementation,negative-flow-v05,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-044,backend/apps/api/test/negative-flow-v05.e2e-spec.ts,3,GPV reversal references original GPV event,Test implementation,negative-flow-v05,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-045,backend/apps/api/test/negative-flow-v05.e2e-spec.ts,4,returned quantity cannot exceed ordered quantity across multiple returns,Test implementation,negative-flow-v05,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-046,backend/apps/api/test/negative-flow-v05.e2e-spec.ts,5,PENDING_45D direct referral/equalization becomes REVERSED,Test implementation,negative-flow-v05,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-047,backend/apps/api/test/negative-flow-v05.e2e-spec.ts,6,EFFECTIVE/PAYABLE/PAID direct award creates CLAWBACK and recovery ledger,Test implementation,negative-flow-v05,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-048,backend/apps/api/test/negative-flow-v05.e2e-spec.ts,7,original bonus award is never updated/deleted,Test implementation,negative-flow-v05,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-049,backend/apps/api/test/negative-flow-v05.e2e-spec.ts,8,Binary and Matching create settlement recalculation requests instead of rewriting history,Test implementation,negative-flow-v05,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-050,backend/apps/api/test/negative-flow-v05.e2e-spec.ts,9,reprocessing RETURN_CONFIRMED is idempotent,Test implementation,negative-flow-v05,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-051,backend/apps/api/test/negative-flow-v05.e2e-spec.ts,13,EFFECTIVE awards become PAYABLE via payout batch,Test implementation,negative-flow-v05,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-052,backend/apps/api/test/negative-flow-v05.e2e-spec.ts,14,open clawback recovery offsets next payout,Test implementation,negative-flow-v05,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-053,backend/apps/api/test/negative-flow-v05.e2e-spec.ts,15,net payout cannot go below zero,Test implementation,negative-flow-v05,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-054,backend/apps/api/test/negative-flow-v05.e2e-spec.ts,16,mark-paid writes PAID lifecycle events,Test implementation,negative-flow-v05,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-055,backend/apps/api/test/organization.e2e-spec.ts,2,sponsor tree and binary tree remain independent,Test implementation,organization,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-056,backend/apps/api/test/organization.e2e-spec.ts,3,binary occupied slot is rejected,Test implementation,organization,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-057,backend/apps/api/test/organization.e2e-spec.ts,4,binary cycle is rejected,Test implementation,organization,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-058,backend/apps/api/test/organization.e2e-spec.ts,5,1st and 3rd direct recruit must be within sponsor LEFT subtree,Test implementation,organization,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-059,backend/apps/api/test/organization.e2e-spec.ts,6,sponsor sequence is permanent and never renumbered after exit,Test implementation,organization,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-060,backend/apps/api/test/qualification-isolation.e2e-spec.ts,2,Person A cannot read Person B qualification,Test implementation,qualification-isolation,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-061,backend/apps/api/test/qualification-isolation.e2e-spec.ts,3,same person Ball A active does not make Ball B active,Test implementation,qualification-isolation,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-062,backend/apps/api/test/qualification-isolation.e2e-spec.ts,4,missing qualification context returns AMBIGUOUS_QUALIFICATION,Test implementation,qualification-isolation,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-063,backend/apps/api/test/qualification-isolation.e2e-spec.ts,5,member share link is bound to selected qualification,Test implementation,qualification-isolation,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-064,backend/apps/api/test/v060-adjustment-lifecycle.e2e-spec.ts,2,return never mutates original Binary settlement,Test implementation,v060-adjustment-lifecycle,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-065,backend/apps/api/test/v060-adjustment-lifecycle.e2e-spec.ts,3,return never mutates original Matching settlement,Test implementation,v060-adjustment-lifecycle,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-066,backend/apps/api/test/v060-adjustment-lifecycle.e2e-spec.ts,4,replay uses original carry-in and reversal PV events,Test implementation,v060-adjustment-lifecycle,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-067,backend/apps/api/test/v060-adjustment-lifecycle.e2e-spec.ts,5,positive delta creates compensating award,Test implementation,v060-adjustment-lifecycle,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-068,backend/apps/api/test/v060-adjustment-lifecycle.e2e-spec.ts,6,negative delta creates recovery,Test implementation,v060-adjustment-lifecycle,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-069,backend/apps/api/test/v060-adjustment-lifecycle.e2e-spec.ts,7,"future subscription recognition is cancelled, not deleted",Test implementation,v060-adjustment-lifecycle,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-070,backend/apps/api/test/v060-adjustment-lifecycle.e2e-spec.ts,8,recognized RPV gets explicit reversal event,Test implementation,v060-adjustment-lifecycle,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-071,backend/apps/api/test/v060-adjustment-lifecycle.e2e-spec.ts,9,upgrade has no retroactive bonus effect,Test implementation,v060-adjustment-lifecycle,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-072,backend/apps/api/test/v060-adjustment-lifecycle.e2e-spec.ts,10,transfer preserves qualificationId and tree positions,Test implementation,v060-adjustment-lifecycle,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-073,backend/apps/api/test/v060-adjustment-lifecycle.e2e-spec.ts,11,exit preserves qualification for company-held re-transfer,Test implementation,v060-adjustment-lifecycle,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-074,backend/apps/api/test/v061-replay.e2e-spec.ts,2,"replay uses original carry-in, not current carry",Test implementation,v061-replay,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-075,backend/apps/api/test/v061-replay.e2e-spec.ts,3,negative GPV reversal is included in historical period subtree GPV,Test implementation,v061-replay,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-076,backend/apps/api/test/v061-replay.e2e-spec.ts,4,recomputed Pair respects original weekly cap,Test implementation,v061-replay,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-077,backend/apps/api/test/v061-replay.e2e-spec.ts,5,K1 is recomputed with changed impacted theory and unchanged others,Test implementation,v061-replay,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-078,backend/apps/api/test/v061-replay.e2e-spec.ts,6,Matching source uses recomputed Binary Paid,Test implementation,v061-replay,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-079,backend/apps/api/test/v061-replay.e2e-spec.ts,7,K2 is recomputed from adjusted matching theory,Test implementation,v061-replay,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-080,backend/apps/api/test/v061-replay.e2e-spec.ts,8,"original settlement, award and carry rows remain unchanged",Test implementation,v061-replay,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-081,backend/apps/api/test/v061-replay.e2e-spec.ts,9,positive delta creates compensating award,Test implementation,v061-replay,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-082,backend/apps/api/test/v061-replay.e2e-spec.ts,10,negative delta creates recovery,Test implementation,v061-replay,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-083,backend/apps/api/test/v061-replay.e2e-spec.ts,14,future scheduled rows become CANCELLED,Test implementation,v061-replay,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-084,backend/apps/api/test/v061-replay.e2e-spec.ts,15,recognized affected rows enqueue one RPV_REVERSAL_REQUIRED,Test implementation,v061-replay,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-085,backend/apps/api/test/v061-replay.e2e-spec.ts,16,worker creates exactly one negative RPV reversal event,Test implementation,v061-replay,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-086,backend/apps/api/test/v061-replay.e2e-spec.ts,17,worker creates recovery for previously payable RPV upline awards,Test implementation,v061-replay,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-087,backend/apps/api/test/v061-replay.e2e-spec.ts,18,reprocessing event is idempotent,Test implementation,v061-replay,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-088,backend/apps/api/test/v061-replay.e2e-spec.ts,22,upgrade creates future plan history and does not alter past awards,Test implementation,v061-replay,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-089,backend/apps/api/test/v061-replay.e2e-spec.ts,23,transfer preserves qualificationId and sponsor/binary positions,Test implementation,v061-replay,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-090,backend/apps/api/test/v061-replay.e2e-spec.ts,24,exit closes holder interval and status becomes EXITED,Test implementation,v061-replay,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-091,backend/apps/api/test/v061-replay.e2e-spec.ts,25,company retransfer opens a new holder interval,Test implementation,v061-replay,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-092,backend/apps/api/test/v062-carry-chain.e2e-spec.ts,2,historical week includes later GPV_REVERSAL linked to original event,Test implementation,v062-carry-chain,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-093,backend/apps/api/test/v062-carry-chain.e2e-spec.ts,3,return discovers every Binary ancestor impacted by descendant GPV,Test implementation,v062-carry-chain,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-094,backend/apps/api/test/v062-carry-chain.e2e-spec.ts,4,period replay recomputes all Binary payable amounts when K1 changes,Test implementation,v062-carry-chain,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-095,backend/apps/api/test/v062-carry-chain.e2e-spec.ts,5,period replay recomputes all Matching payable amounts when K2 changes,Test implementation,v062-carry-chain,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-096,backend/apps/api/test/v062-carry-chain.e2e-spec.ts,6,next week carry-in uses prior recomputed carry-out,Test implementation,v062-carry-chain,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-097,backend/apps/api/test/v062-carry-chain.e2e-spec.ts,7,propagation stops when left/right carry match original snapshots,Test implementation,v062-carry-chain,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-098,backend/apps/api/test/v062-carry-chain.e2e-spec.ts,8,propagation respects maxWeeks safety horizon,Test implementation,v062-carry-chain,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-099,backend/apps/api/test/v062-carry-chain.e2e-spec.ts,9,each replay period is append-only and replay run is resumable,Test implementation,v062-carry-chain,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-100,backend/apps/api/test/v062-carry-chain.e2e-spec.ts,10,positive deltas post compensating awards and negative deltas post recovery,Test implementation,v062-carry-chain,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-101,backend/apps/api/test/v062-carry-chain.e2e-spec.ts,11,"original BinaryCarry, SettlementBatch and BonusAward remain untouched",Test implementation,v062-carry-chain,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-102,backend/apps/api/test/v062-carry-chain.e2e-spec.ts,15,"migration 0005 references subscription.subscription, not commerce.subscription",Test implementation,v062-carry-chain,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-103,backend/apps/api/test/v062-carry-chain.e2e-spec.ts,16,Prisma schema contains adjustment/workflow/replay models,Test implementation,v062-carry-chain,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-104,backend/apps/api/test/v062-carry-chain.e2e-spec.ts,17,"RPV reversal anchor uses BonusAwardType.RPV, not EPV",Test implementation,v062-carry-chain,TODO / NOT EXECUTED,SA-01/03 clarifies replay/carry/snapshots; original coverage remains TODO; decision and implementation blockers are separate
TODO-105,backend/apps/api/test/v063-golden-path.e2e-spec.ts,2,Taiwan local time maps to configured settlement week,Test implementation,v063-golden-path,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-106,backend/apps/api/test/v063-golden-path.e2e-spec.ts,3,effective BonusAward materializes once,Test implementation,v063-golden-path,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-107,backend/apps/api/test/v063-golden-path.e2e-spec.ts,4,RPV award materializes once,Test implementation,v063-golden-path,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-108,backend/apps/api/test/v063-golden-path.e2e-spec.ts,5,payout groups by Qualification rather than Person,Test implementation,v063-golden-path,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-109,backend/apps/api/test/v063-golden-path.e2e-spec.ts,6,Recovery offsets Gross without changing source Award,Test implementation,v063-golden-path,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-110,backend/apps/api/test/v063-golden-path.e2e-spec.ts,7,Net payout never becomes negative,Test implementation,v063-golden-path,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-111,backend/apps/api/test/v063-golden-path.e2e-spec.ts,8,temporal holder check denies former holder after transfer,Test implementation,v063-golden-path,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-112,backend/apps/api/test/v063-golden-path.e2e-spec.ts,9,RBAC denies unauthorized admin operation,Test implementation,v063-golden-path,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-113,backend/apps/api/test/v064-golden-dataset.e2e-spec.ts,2,keeps Person and Qualification distinct,Test implementation,v064-golden-dataset,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-114,backend/apps/api/test/v064-golden-dataset.e2e-spec.ts,3,keeps Sponsor and Binary trees distinct,Test implementation,v064-golden-dataset,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-115,backend/apps/api/test/v064-golden-dataset.e2e-spec.ts,4,validates Referral 15/20/25,Test implementation,v064-golden-dataset,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-116,backend/apps/api/test/v064-golden-dataset.e2e-spec.ts,5,validates Equalization including Leader G5=10%,Test implementation,v064-golden-dataset,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-117,backend/apps/api/test/v064-golden-dataset.e2e-spec.ts,6,validates Active First and no compression,Test implementation,v064-golden-dataset,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-118,backend/apps/api/test/v064-golden-dataset.e2e-spec.ts,7,validates Binary Carry and K1,Test implementation,v064-golden-dataset,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-119,backend/apps/api/test/v064-golden-dataset.e2e-spec.ts,8,validates Matching source=Binary Paid after K1,Test implementation,v064-golden-dataset,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-120,backend/apps/api/test/v064-golden-dataset.e2e-spec.ts,9,validates RPV 5/8/12 on Binary Tree,Test implementation,v064-golden-dataset,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-121,backend/apps/api/test/v064-golden-dataset.e2e-spec.ts,10,validates EPV on Sponsor Tree,Test implementation,v064-golden-dataset,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-122,backend/apps/api/test/v064-golden-dataset.e2e-spec.ts,11,validates refund -> replay -> recovery -> payout,Test implementation,v064-golden-dataset,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-123,backend/apps/api/test/v064-golden-dataset.e2e-spec.ts,12,validates partial recovery across multiple payout batches,Test implementation,v064-golden-dataset,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-124,backend/apps/api/test/vertical-slice-02.e2e-spec.ts,2,creates DRAFT membership application,Test implementation,vertical-slice-02,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
